ID,longitude,latitude,Z,Xa,Huyen,Tinh,QSH,QCN,QTM-DV,QRE1,Qi,KS,QSP,QT,fT,QAN,fAN,QAQ,fAQ,QRE2,QNN,QRE3,Qs,fs,Ws,Qg,fg,Wg,Qr,fr,Wr,Wru,WSCI1,WSCI2,WSC3
X1,105.552,10.8725,2,Tân Thành A,Tân Hồng,Đồng Tháp,804,40,121,964,188,1.12,210.8,204580.984,0.005,653.889,1,19360.731,0.001,2660,224595.603,221935.603,224595603.3,0.0001,22459.56,179676.483,0.002,359.353,1369863.014,0.05,68493.151,91312.064,0.219,0.079,0.411
X2,105.815,10.8663,2,Vĩnh Bình,Vĩnh Hưng,Long An,321,16,48,385,185,1.12,207.5,176397.995,0.005,256.933,1,14028.493,0.001,1538,190683.422,189145.422,190683421.5,0.0001,19068.342,152546.737,0.002,305.093,1369863.014,0.05,68493.151,87866.586,0.539,0.135,0.465
X3,106.298,10.8757,2,Mỹ Thạnh Đông,Đức Huệ,Long An,1170,234,176,1580,365,1.12,408.8,144704.128,0.005,505.062,1,4369.863,0.001,2813,149579.052,146766.052,149579052.4,0.0001,14957.905,119663.242,0.002,239.326,1369863.014,0.05,68493.151,83690.382,0.259,0.145,0.57
X4,105.789,10.8867,2,Vĩnh Hưng,Vĩnh Hưng,Long An,1062,53,159,1274,186,1.12,208.62,176397.995,0.005,256.933,1,14028.493,0.001,2427,190683.422,188256.422,190683421.5,0.0001,19068.342,152546.737,0.002,305.093,1369863.014,0.05,68493.151,87866.586,0.164,0.086,0.467
X5,105.268,10.8323,2,Thường Thới Tiền,Hồng Ngự,Đồng Tháp,1795,359,269,2423,969,1.12,1085.5,94023.973,0.005,418.5,1,16397.26,0.001,3328,110839.733,107511.733,110839732.9,0.0001,11083.973,88671.786,0.002,177.344,1369863.014,0.05,68493.151,79754.468,0.448,0.326,0.742
X6,105.697,10.8349,2,Vĩnh Thạnh,Tân Hưng,Long An,615,31,92,738,378,1.12,423.72,212376.234,0.005,115.586,1,4594.521,0.001,1920,217086.34,215166.34,217086340.2,0.0001,21708.634,173669.072,0.002,347.338,1369863.014,0.05,68493.151,90549.123,0.574,0.221,0.421
X7,105.116,10.8357,2,Vĩnh Lộc,An Phú,An Giang,1159,58,174,1391,5,1.12,5.95,43870.325,0.005,78.929,1,7632.094,0.001,1697,51581.347,49884.347,51581347.36,0.0001,5158.135,41265.078,0.002,82.53,1369863.014,0.05,68493.151,73733.816,0.004,0.004,1.478
X8,105.453,10.7514,2,Phú Thành B,Tam Nông,Đồng Tháp,433,22,65,519,208,1.12,232.51,193972.374,0.005,210.533,1,30164.384,0.001,1730,224347.291,222617.291,224347291.3,0.0001,22434.729,179477.833,0.002,358.956,1369863.014,0.05,68493.151,91286.835,0.448,0.134,0.41
X9,106.004,10.6217,2,Nhơn Hòa,Tân Thành,Long An,251,13,38,301,167,1.12,186.87,206049.74,0.005,179.387,1,10255.186,0.001,1521,216484.312,214963.312,216484312.3,0.0001,21648.431,173187.45,0.002,346.375,1369863.014,0.05,68493.151,90487.957,0.621,0.123,0.421
X10,106.328,10.6338,2,Mỹ Lạc,Thủ Thừa,Long An,766,38,115,920,436,1.12,487.98,102840.934,0.005,244.271,1,2910.854,0.001,1681,105996.059,104315.059,105996058.6,0.0001,10599.606,84796.847,0.002,169.594,1369863.014,0.05,68493.151,79262.35,0.53,0.29,0.76
