ID,longitude,latitude,PN,DN,WN,P,Date,Qyc,Qc,WQI,Wh1,HH,Wh2,XNM,Wh3,LL,Wh4,SL,Wh5,Wv1,PD,Wv2,WSCI,Wv3,DTR,Wv4,MDK,Wv5
X01,105.552,10.8725,Đồng Tháp,Tân Hồng,Tân Thành A,8036,11/9/2023,964,191,51,0.48,-2.5,0.09,0,0.18,0.5,0.07,10,0.19,0.1,23,0.07,0.25,0.4,3198,0.25,12054,0.18
X02,105.815,10.8663,Long An,Vĩnh Hưng,Vĩnh Bình,3210,11/9/2023,385,193,39,0.48,-2.8,0.09,0,0.18,0.2,0.07,8,0.19,0.1,13,0.07,0.18,0.4,572,0.25,4815,0.18
X03,106.298,10.8757,Long An,Đức Huệ,Mỹ Thạnh Đông,9753,11/9/2023,1170,340,40,0.48,-0.26,0.09,1,0.18,2.74,0.07,8,0.19,0.1,30,0.07,0.09,0.4,925,0.25,14630,0.18
X04,105.789,10.8867,Long An,Vĩnh Hưng,Vĩnh Hưng,10615,11/9/2023,1274,182,39,0.48,-1.32,0.09,0,0.18,1.68,0.07,9,0.19,0.1,206,0.07,0.01,0.4,134,0.25,15923,0.18
X05,105.268,10.8323,Đồng Tháp,Hồng Ngự,Thường Thới Tiền,14957,11/9/2023,1795,20,60,0.48,-0.24,0.09,0,0.18,2.76,0.07,5,0.19,0.1,49,0.07,0.09,0.4,1307,0.25,22436,0.18
X06,105.697,10.8349,Long An,Tân Hưng,Vĩnh Thạnh,6153,11/9/2023,738,384,43,0.48,0.36,0.09,0,0.18,3.36,0.07,20,0.19,0.1,13,0.07,0.02,0.4,99,0.25,9230,0.18
X07,105.116,10.8357,An Giang,An Phú,Vĩnh Lộc,11592,11/9/2023,1391,14,61,0.48,0.45,0.09,0,0.18,3.45,0.07,7,0.19,0.1,32,0.07,0.32,0.4,3748,0.25,17388,0.18
X08,105.453,10.7514,Đồng Tháp,Tam Nông,Phú Thành B,4329,11/9/2023,519,20,58,0.48,-1.5,0.09,0,0.18,1.5,0.07,7,0.19,0.1,8,0.07,1.21,0.4,5232,0.25,6494,0.18
X09,106.004,10.6217,Long An,Tân Thành,Nhơn Hòa,2509,11/9/2023,301,156,40,0.48,-1.32,0.09,0,0.18,1.68,0.07,11,0.19,0.1,9,0.07,0.36,0.4,891,0.25,3764,0.18
X10,106.328,10.6338,Long An,Thủ Thừa,Mỹ Lạc,7664,11/9/2023,920,437,30,0.48,-2.8,0.09,2,0.18,0.2,0.07,13,0.19,0.1,44,0.07,0.07,0.4,504,0.25,11496,0.18
X11,105.477,10.6291,Đồng Tháp,Thanh Bình,Phú Lợi,5674,11/9/2023,681,20,58,0.48,-2.8,0.09,0,0.18,0.2,0.07,7,0.19,0.1,15,0.07,0.68,0.4,3838,0.25,8511,0.18
X12,105.533,10.6279,Đồng Tháp,Thanh Bình,Tân Mỹ,8357,11/9/2023,1003,20,58,0.48,-1.5,0.09,0,0.18,1.5,0.07,6,0.19,0.1,18,0.07,0.02,0.4,185,0.25,12536,0.18
X13,105.901,10.8237,Long An,Mộc Hóa,Bình Tân,2653,11/9/2023,318,217,41,0.48,-1.5,0.09,0,0.18,1.5,0.07,0,0.19,0.1,21,0.07,0.57,0.4,1509,0.25,3980,0.18
X14,106.333,10.7918,Long An,Đức Huệ,Bình Hòa Nam,9098,11/9/2023,1092,295,25,0.48,-0.26,0.09,0,0.18,2.74,0.07,7,0.19,0.1,13,0.07,0.45,0.4,4059,0.25,13647,0.18
X15,105.183,10.8139,An Giang,Tân Châu,Tân An,13631,11/9/2023,1636,2,61,0.48,-1.5,0.09,2,0.18,1.5,0.07,11,0.19,0.1,50,0.07,0.04,0.4,601,0.25,20447,0.18
X16,106.448,10.8262,Long An,Đức Hòa,Đức Hòa,15671,11/9/2023,1881,409,37,0.48,-2.8,0.09,0,0.18,0.2,0.07,13,0.19,0.1,213,0.07,0.05,0.4,733,0.25,23507,0.18
X17,105.264,10.7317,An Giang,Phú Tân,Phú Lâm,11241,11/9/2023,1349,20,61,0.48,-0.26,0.09,0,0.18,2.74,0.07,13,0.19,0.1,76,0.07,0.05,0.4,601,0.25,16862,0.18
X18,105.792,10.3848,Đồng Tháp,Cao Lãnh,Mỹ Long,10805,11/9/2023,1297,20,58,0.48,0.36,0.09,0,0.18,3.36,0.07,20,0.19,0.1,46,0.07,0.2,0.4,2163,0.25,16208,0.18
X19,105.599,10.426,Đồng Tháp,Cao Lanh,Tân Thuận Đông,9592,11/9/2023,1151,15,59,0.48,0.45,0.09,34,0.18,3.45,0.07,25,0.19,0.1,59,0.07,0.24,0.4,2349,0.25,14388,0.18
X20,106.754,10.3909,Tiền Giang,Gò Công Đông,Kiểng Phước,16285,11/9/2023,1954,20,55,0.48,-2.8,0.09,16,0.18,0.2,0.07,30,0.19,0.1,83,0.07,0.08,0.4,1225,0.25,24428,0.18
X21,106.503,10.4052,Tiền Giang,Chợ Gạo,Quơn Long,10415,11/9/2023,1250,20,57,0.48,-1.32,0.09,8,0.18,1.68,0.07,9,0.19,0.1,79,0.07,0.4,0.4,4162,0.25,15623,0.18
X22,106.242,10.0995,Vĩnh Long,Vũng Liêm,Thanh Bình,10064,11/9/2023,1208,839,58,0.48,-2.8,0.09,4,0.18,0.2,0.07,13,0.19,0.1,41,0.07,0.49,0.4,4903,0.25,15096,0.18
X23,106.009,10.1041,Vĩnh Long,Tam Bình,Hoà Lộc,7693,11/9/2023,923,580,61,0.48,-0.26,0.09,2,0.18,2.74,0.07,6,0.19,0.1,60,0.07,0.12,0.4,949,0.25,11540,0.18
X24,105.729,10.1196,Vĩnh Long,Bình Tân,Tân Bình,11239,11/9/2023,1349,591,61,0.48,0.45,0.09,0,0.18,3.45,0.07,30,0.19,0.1,103,0.07,0.02,0.4,199,0.25,16859,0.18
X25,105.281,10.1099,Kiên Giang,Tân Hiệp,Tân Hiệp,18102,11/9/2023,2172,44,49,0.48,-2.8,0.09,0,0.18,0.2,0.07,20,0.19,0.1,1511,0.07,0,0.4,45,0.25,27153,0.18
X26,105.784,10.0931,Vĩnh Long,Bình Tân,Thành Lợi,9998,11/9/2023,1200,471,64,0.48,-0.26,0.09,23,0.18,2.74,0.07,9,0.19,0.1,65,0.07,0.09,0.4,916,0.25,14997,0.18
X27,106.496,10.0922,Bến Tre,Giồng Trôm,Hưng Nhượng,10607,11/9/2023,1273,607,54,0.48,-1.32,0.09,0,0.18,1.68,0.07,11,0.19,0.1,55,0.07,0.09,0.4,905,0.25,15911,0.18
X28,105.729,10.4246,Đồng Tháp,Cao Lãnh,Mỹ Hội,10254,11/9/2023,1230,20,58,0.48,0.45,0.09,30,0.18,3.45,0.07,12,0.19,0.1,61,0.07,0.18,0.4,1879,0.25,15381,0.18
X29,106.674,10.4111,Tiền Giang,Gò Công Đông,Tân Trung,14496,11/9/2023,1740,20,55,0.48,-2.8,0.09,9,0.18,0.2,0.07,20,0.19,0.1,71,0.07,0.01,0.4,140,0.25,21744,0.18
X30,106.479,10.4184,Long An,Châu Thành,An Lục Long,13092,11/9/2023,1571,204,56,0.48,-1.32,0.09,0,0.18,1.68,0.07,9,0.19,0.1,75,0.07,0.15,0.4,1911,0.25,19638,0.18
X31,105.668,10.4263,Đồng Tháp,Cao Lanh,Tịnh Thới,12950,11/9/2023,1554,20,58,0.48,-0.24,0.09,20,0.18,2.76,0.07,17,0.19,0.1,80,0.07,0.05,0.4,594,0.25,19425,0.18
X32,106.561,10.4275,Long An,Châu Thành,Thanh Vĩnh Đông,6316,11/9/2023,758,259,55,0.48,0.36,0.09,10,0.18,3.36,0.07,28,0.19,0.1,56,0.07,0.13,0.4,808,0.25,9474,0.18
X33,106.403,10.2897,Bến Tre,Châu Thành,An Phước,4375,11/9/2023,525,1295,54,0.48,-2.8,0.09,24,0.18,0.2,0.07,11,0.19,0.1,68,0.07,0.28,0.4,1218,0.25,6563,0.18
X34,106.548,10.2456,Bến Tre,Bình Đại,Vang Quới Đông,4884,11/9/2023,586,672,55,0.48,-0.26,0.09,0,0.18,2.74,0.07,9,0.19,0.1,40,0.07,0.3,0.4,1450,0.25,7326,0.18
X35,105.416,10.2372,Cần Thơ,Vĩnh Thạnh,Thạnh Mỹ,7628,11/9/2023,915,956,57,0.48,-1.32,0.09,20,0.18,1.68,0.07,8,0.19,0.1,28,0.07,0.1,0.4,750,0.25,11442,0.18
X36,106.635,10.3836,Tiền Giang,Gò Công Tây,Thành Công,4994,11/9/2023,599,20,55,0.48,-0.24,0.09,2,0.18,2.76,0.07,15,0.19,0.1,36,0.07,0.05,0.4,239,0.25,7491,0.18
X37,106.524,10.3882,Tiền Giang,Chợ Gạo,Bình Phục Nhứt,12408,11/9/2023,1489,20,56,0.48,0.36,0.09,0,0.18,3.36,0.07,10,0.19,0.1,70,0.07,0.26,0.4,3279,0.25,18612,0.18
X38,105.652,10.3949,Đồng Tháp,Lấp Vò,Tân Mỹ,8357,11/9/2023,1003,20,59,0.48,-2.8,0.09,24,0.18,0.2,0.07,9,0.19,0.1,46,0.07,0.03,0.4,275,0.25,12536,0.18
X39,106.536,10.0762,Bến Tre,Ba Tri,An Ngãi Trung,9107,11/9/2023,1093,987,51,0.48,-1.32,0.09,24,0.18,1.68,0.07,25,0.19,0.1,64,0.07,0.01,0.4,92,0.25,13661,0.18
X40,106.217,10.0825,Vĩnh Long,Vũng Liêm,Trung Thành Đông,4722,11/9/2023,567,903,60,0.48,-0.24,0.09,0,0.18,2.76,0.07,13,0.19,0.1,41,0.07,0.6,0.4,2852,0.25,7083,0.18
X41,105.758,10.0704,Cần Thơ,Bình Thủy,An Thới,29021,11/9/2023,3483,310,64,0.48,0.36,0.09,23,0.18,3.36,0.07,17,0.19,0.1,259,0.07,0.02,0.4,527,0.25,43532,0.18
X42,106.371,10.0807,Bến Tre,Mỏ Cày,An Định,10478,11/9/2023,1257,310,56,0.48,0.45,0.09,5,0.18,3.45,0.07,9,0.19,0.1,69,0.07,0.12,0.4,1241,0.25,15717,0.18
X43,105.972,10.0629,Vĩnh Long,Tam Bình,Mỹ Thạnh Trung,11269,11/9/2023,1352,612,72,0.48,-2.8,0.09,0,0.18,0.2,0.07,15,0.19,0.1,48,0.07,0.08,0.4,903,0.25,16904,0.18
X44,105.411,10.0616,Cần Thơ,Cờ Đỏ,Thới Đông,5523,11/9/2023,663,437,51,0.48,-0.26,0.09,0,0.18,2.74,0.07,25,0.19,0.1,15,0.07,0.72,0.4,3993,0.25,8285,0.18
X45,105.694,10.9674,Long An,Vĩnh Hưng,Khánh Hưng,7517,11/9/2023,902,219,39,0.48,-1.32,0.09,0,0.18,1.68,0.07,13,0.19,0.1,13,0.07,0.13,0.4,1000,0.25,11276,0.18
X46,105.745,10.7955,Long An,Tân Hưng,Vĩnh Lợi,5022,11/9/2023,603,175,42,0.48,0.36,0.09,0,0.18,3.36,0.07,25,0.19,0.1,9,0.07,0.38,0.4,1896,0.25,7533,0.18
X47,105.348,10.8133,Đồng Tháp,Hồng Ngự,Hồng Ngự,12799,11/9/2023,1536,20,59,0.48,0.45,0.09,0,0.18,3.45,0.07,13,0.19,0.1,273,0.07,0,0.4,47,0.25,19199,0.18
X48,105.386,10.7432,Đồng Tháp,Tam Nông,An Hòa,10483.97362,11/9/2023,1258,20,59,0.48,-2.8,0.09,8,0.18,0.2,0.07,9,0.19,0.1,40,0.07,0.2,0.4,2145,0.25,15726,0.18
X49,106.467,10.6109,Long An,Bến Lức,Nhựt Chánh,7805.085353,11/9/2023,937,163,34,0.48,-0.26,0.09,0,0.18,2.74,0.07,12,0.19,0.1,53,0.07,0.23,0.4,1799,0.25,11708,0.18
X50,105.112,10.5859,An Giang,Châu Phú,Ô Long Vĩ,9704.89459,11/9/2023,1165,268,59,0.48,-0.24,0.09,15,0.18,2.76,0.07,13,0.19,0.1,13,0.07,0.64,0.4,6227,0.25,14557,0.18
X51,106.605,10.6206,Long An,Cần Giuộc,Phước Hậu,11750,11/9/2023,1410,277,47,0.48,0.36,0.09,2,0.18,3.36,0.07,15,0.19,0.1,127,0.07,0.17,0.4,1945,0.25,17625,0.18
